,up,down,left,right
"(0,0)",-6.0,-6.0,-5.0,-5.0
"(0,1)",-7.0,-7.0,-6.0,-7.0
"(0,2)",-6.0,-7.0,-6.0,-7.0
"(0,3)",-7.0,-205.0,-7.0,-6.0
"(0,4)",-6.0,-5.0,-7.0,-7.0
"(0,5)",-7.0,-205.0,-6.0,-205.0
"(0,6)",-205.0,-7.0,-7.0,-5.0
"(0,7)",-6.0,-6.0,-205.0,-6.0
"(0,8)",-6.0,-5.0,-7.0,-202.0
"(0,9)",-202.0,-4.0,-6.0,-2.0
"(0,1)",-2.0,-3.0,-202.0,-1.0
"(0,1)",-1.0,-2.0,-2.0,0.0
"(0,1)",0.0,0.0,0.0,0.0
"(1,0)",-5.0,-7.0,-6.0,-7.0
"(1,1)",-7.0,-8.0,-6.0,-7.0
"(1,2)",-6.0,-207.0,-7.0,-205.0
"(1,3)",-7.0,-7.0,-7.0,-5.0
"(1,4)",-6.0,-6.0,-205.0,-205.0
"(1,5)",-7.0,-7.0,-7.0,-7.0
"(1,6)",-205.0,-6.0,-207.0,-6.0
"(1,7)",-6.0,-7.0,-7.0,-5.0
"(1,8)",-6.0,-5.0,-6.0,-4.0
"(1,9)",-202.0,-5.0,-5.0,-3.0
"(1,1)",-2.0,-4.0,-4.0,-2.0
"(1,1)",-1.0,-3.0,-3.0,-200.0
"(1,1)",0.0,-203.0,-2.0,-200.0
"(2,0)",-6.0,-207.0,-7.0,-8.0
"(2,1)",-7.0,-9.0,-7.0,-207.0
"(2,2)",-7.0,-206.0,-8.0,-7.0
"(2,3)",-205.0,-205.0,-207.0,-6.0
"(2,4)",-5.0,-5.0,-7.0,-7.0
"(2,5)",-207.0,-6.0,-6.0,-6.0
"(2,6)",-7.0,-7.0,-5.0,-7.0
"(2,7)",-6.0,-205.0,-6.0,-6.0
"(2,8)",-5.0,-5.0,-7.0,-5.0
"(2,9)",-4.0,-205.0,-6.0,-4.0
"(2,1)",-3.0,-203.0,-5.0,-3.0
"(2,1)",-2.0,-4.0,-4.0,-203.0
"(2,1)",-200.0,-5.0,-3.0,-203.0
"(3,0)",-7.0,-8.0,-207.0,-9.0
"(3,1)",-8.0,-9.0,-207.0,-208.0
"(3,2)",-205.0,-9.0,-9.0,-205.0
"(3,3)",-7.0,-8.0,-208.0,-5.0
"(3,4)",-6.0,-205.0,-205.0,-6.0
"(3,5)",-5.0,-7.0,-5.0,-7.0
"(3,6)",-6.0,-6.0,-6.0,-205.0
"(3,7)",-7.0,-7.0,-5.0,-5.0
"(3,8)",-6.0,-6.0,-205.0,-205.0
"(3,9)",-5.0,-7.0,-5.0,-204.0
"(3,1)",-4.0,-4.0,-205.0,-4.0
"(3,1)",-3.0,-5.0,-204.0,-5.0
"(3,1)",-203.0,-203.0,-4.0,-5.0
"(4,0)",-207.0,-206.0,-7.0,-9.0
"(4,1)",-9.0,-8.0,-8.0,-9.0
"(4,2)",-209.0,-207.0,-9.0,-8.0
"(4,3)",-205.0,-7.0,-9.0,-203.0
"(4,4)",-7.0,-206.0,-8.0,-7.0
"(4,5)",-6.0,-6.0,-207.0,-6.0
"(4,6)",-7.0,-206.0,-7.0,-5.0
"(4,7)",-205.0,-205.0,-6.0,-6.0
"(4,8)",-5.0,-206.0,-7.0,-7.0
"(4,9)",-205.0,-6.0,-6.0,-6.0
"(4,1)",-204.0,-204.0,-5.0,-5.0
"(4,1)",-4.0,-4.0,-6.0,-203.0
